同德一心	tóng dé yī xīn
同心一德	tóng xīn yī dé
大天白日	dà tiān bái rì
大而无当	dà ér wú dàng
风马不接	fēng mǎ bù jiē
如日中天	rú rì zhōng tiān
一清如水	yī qīng rú shuǐ
面无人色	miàn wú rén sè
一门心思	yī mén xīn sī
无中生有	wú zhōng shēng yǒu
言不及行	yán bù jí xíng
出人头地	chū rén tóu dì
百无一是	bǎi wú yī shì
有生之年	yǒu shēng zhī nián
长生不老	cháng shēng bù lǎo
风云之志	fēng yún zhī zhì
一目之士	yī mù zhī shì
无所不至	wú suǒ bù zhì
一心同归	yī xīn tóng guī
一身五心	yī shēn wǔ xīn
白首之心	bái shǒu zhī xīn
出其不意	chū qí bù yì
不根之论	bù gēn zhī lùn
天无二日	tiān wú èr rì
自不待言	zì bù dài yán
不经之谈	bù jīng zhī tán
老而不死	lǎo ér bù sǐ
心如金石	xīn rú jīn shí
先天不足	xiān tiān bù zú
有意无意	yǒu yì wú yì
神而明之	shén ér míng zhī
不了不当	bù liǎo bù dàng
如天之福	rú tiān zhī fú
一语中人	yī yǔ zhōng rén
一己之见	yī jǐ zhī jiàn
一席之地	yī xí zhī dì
计无所之	jì wú suǒ zhī
一家之学	yī jiā zhī xué
乐不可言	lè bù kě yán
说一不二	shuō yī bù èr
风云人物	fēng yún rén wù
足不出门	zú bù chū mén
有己无人	yǒu jǐ wú rén
绝口不道	jué kǒu bù dào
一面之辞	yī miàn zhī cí
自成一家	zì chéng yī jiā
故人之意	gù rén zhī yì
深得人心	shēn dé rén xīn
一无可取	yī wú kě qǔ
一家之辞	yī jiā zhī cí
深入人心	shēn rù rén xīn
无所不及	wú suǒ bù jí
一以贯之	yī yǐ guàn zhī
东风人面	dōng fēng rén miàn
不知所以	bù zhī suǒ yǐ
视而不见	shì ér bù jiàn
不义之财	bù yì zhī cái
百死一生	bǎi sǐ yī shēng
有嘴无心	yǒu zuǐ wú xīn
老大无成	lǎo dà wú chéng
分文不名	fēn wén bù míng
苦不可言	kǔ bù kě yán
天高地下	tiān gāo dì xià
有声无气	yǒu shēng wú qì
无头无尾	wú tóu wú wěi
一家无二	yī jiā wú èr
无往不利	wú wǎng bù lì
一生一代	yī shēng yī dài
事不过三	shì bù guò sān
风风火火	fēng fēng huǒ huǒ
以心问心	yǐ xīn wèn xīn
言之有理	yán zhī yǒu lǐ
不得不尔	bù dé bù ěr
万死一生	wàn sǐ yī shēng
百无一用	bǎi wú yī yòng
言之有故	yán zhī yǒu gù
不声不响	bù shēng bù xiǎng
不劳而成	bù láo ér chéng
一无所闻	yī wú suǒ wén
不知所云	bù zhī suǒ yún
如无其事	rú wú qí shì
千金之家	qiān jīn zhī jiā
一无所求	yī wú suǒ qiú
自出一家	zì chū yī jiā
高而不危	gāo ér bù wēi
众口如一	zhòng kǒu rú yī
一面之识	yī miàn zhī shí
天下归心	tiān xià guī xīn
合而为一	hé ér wéi yī
不可胜言	bù kě shèng yán
极而言之	jí ér yán zhī
不根之谈	bù gān zhī tán
不相为谋	bù xiāng wéi móu
可有可无	kě yǒu kě wú
不舞之鹤	bù wǔ zhī hè
落花无言	luò huā wú yán
以一知万	yǐ yī zhī wàn
百不一遇	bǎi bù yī yù
生生不息	shēng shēng bù xī
风流人物	fēng liú rén wù
不拔之志	bù bá zhī zhì
言不达意	yán bù dá yì
好自为之	hào zì wéi zhī
同日而言	tóng rì ér yán
心不由意	xīn bù yóu yì
流水无情	liú shuǐ wú qíng
一面之词	yī miàn zhī cí
天作之合	tiān zuò zhī hé
人一己百	rén yī jǐ bǎi
不知所出	bù zhī suǒ chū
三人成虎	sān rén chéng hǔ
无明无夜	wú míng wú yè
无施不可	wú shī bù kě
有朝一日	yǒu zhāo yī rì
世风日下	shì fēng rì xià
一龙一蛇	yī lóng yī shé
成人之美	chéng rén zhī měi
小小不言	xiǎo xiǎo bù yán
心不两用	xīn bù liǎng yòng
耳食之言	ěr shí zhī yán
文如其人	wén rú qí rén
不以为奇	bù yǐ wéi qí
无方之民	wú fāng zhī mín
千金之子	qiān jīn zhī zǐ
口出大言	kǒu chū dā yán
出有入无	chū yǒu rù wú
下落不明	xià luò bù míng
大而化之	dà ér huà zhī
一无所能	yī wú suǒ néng
百事无成	bǎi shì wú chéng
有气无力	yǒu qì wú lì
贪心不足	tān xīn bù zú
言之成理	yán zhī chéng lǐ
一手一脚	yī shǒu yī jiǎo
不分玉石	bù fēn yù shí
玉石不分	yù shí bù fēn
一日之雅	yī rì zhī yǎ
天外有天	tiān wài yǒu tiān
一日千里	yī rì qiān lǐ
自高自大	zì gāo zì dà
一目五行	yī mù wǔ háng
风俗人情	fēng sú rén qíng
不齿于人	bù chǐ yú rén
高头大马	gāo tóu dà mǎ
无事生事	wú shì shēng shì
见所不见	jiàn suǒ bù jiàn
大有见地	dà yǒu jiàn dì
无风生浪	wú fēng shēng làng
人面狗心	rén miàn gǒu xīn
风行水上	fēng xíng shuǐ shàng
不拔一毛	bù bá yì máo
一毛不拔	yī máo bù bá
不通水火	bù tōng shuǐ huǒ
不谋而同	bù móu ér tóng
无尽无穷	wú jìn wú qióng
无穷无尽	wú qióng wú jìn
以心传心	yǐ xīn chuán xīn
安身之地	ān shēn zhī dì
天不作美	tiān bù zuò měi
大快人心	dà kuài rén xīn
人心大快	rén xīn dà kuài
自知之明	zì zhī zhī míng
和而不同	hé ér bù tóng
不近人情	bù jìn rén qíng
一日万里	yī rì wàn lǐ
有无相通	yǒu wú xiāng tōng
不赏之功	bù shǎng zhī gōng
引而不发	yǐn ér bù fā
贵不可言	guì bù kě yán
人人自危	rén rén zì wēi
水火无情	shuǐ huǒ wú qíng
如不胜衣	rú bù shèng yī
日月不居	rì yuè bù jū
一无所取	yī wú suǒ qǔ
一五一十	yī wú yī shí
一门同气	yī mén tóng qì
不知所可	bù zhī suǒ kě
不名一格	bù míng yī gé
大有人在	dà yǒu rén zài
大方之家	dà fāng zhī jiā
无动为大	wú dòng wéi dà
不同流俗	bù tóng liú sú
有年无月	yǒu nián wú yuè
一世龙门	yī shì lóng mén
水火之中	shuǐ huǒ zhī zhōng
风云不测	fēng yún bù cè
无人之境	wú rén zhī jìng
一体同心	yī tǐ tóng xīn
一心同体	yī xīn tóng tǐ
成事不说	chéng shì bù shuō
无形无影	wú xíng wú yǐng
无影无形	wú yǐng wú xíng
一口同声	yī kǒu tóng shēng
不及之法	bù jí zhī fǎ
大有可为	dà yǒu kě wéi
无为之治	wú wéi zhī zhì
一脚不移	yī jiǎo bù yí
言论风生	yán lùn fēng shēng
有我无人	yǒu wǒ wú rén
一草一木	yī cǎo yī mù
无名之师	wú míng zhī shī
行若无事	xíng ruò wú shì
入地无门	rù dì wú mén
事无大小	shì wú dà xiǎo
道不相谋	dào bù xiāng móu
不白之冤	bù bái zhī yuān
言而无信	yán ér wú xìn
无恶不造	wú è bù zào
人情之常	rén qíng zhī cháng
人之常情	rén zhī cháng qíng
无微不至	wú wēi bù zhì
一文如命	yī wén rú mìng
万人之敌	wàn rén zhī dí
目不知书	mù bù zhī shū
急人之难	jí rén zhī nán
言外之意	yán wài zhī yì
相生相成	xiāng shēng xiāng chéng
重见天日	chóng jiàn tiān rì
不学无识	bù xué wú shí
直口无言	zhí kǒu wú yán
一来一往	yī lái yī wǎng
天行时气	tiān xíng shí qì
不得其死	bù dé qí sǐ
天下为家	tiān xià wéi jiā
是非之心	shì fēi zhī xīn
事不有余	shì bù yǒu yú
心比天高	xīn bǐ tiān gāo
牛之一毛	niú zhī yī máo
一定不易	yī dìng bù yì
前无古人	qián wú gǔ rén
无声无息	wú shēng wú xī
贼心不死	zéi xīn bù sǐ
不存不济	bù cún bù jì
无往不胜	wú wǎng bù shèng
天年不齐	tiān nián bù qí
不丰不杀	bù fēng bù shā
不易一字	bù yì yī zì
一字不易	yī zì bù yì
一箭之地	yī jiàn zhī dì
名高天下	míng gāo tiān xià
一口三舌	yī kǒu sān shé
木人石心	mù rén shí xīn
以言举人	yǐ yán jǔ rén
无名火气	wú míng huǒ qì
食而不化	shí ér bù huà
一步一鬼	yī bù yī guǐ
马如流水	mǎ rú liú shuǐ
不知轻重	bù zhī qīng zhòng
一见如故	yī jiàn rú gù
风门水口	fēng mén shuǐ kǒu
不无小补	bù wú xiǎo bǔ
百世不易	bǎi shì bù yì
风虎云龙	fēng hǔ yún lóng
龙虎风云	lóng hǔ fēng yún
云龙风虎	yún lóng fēng hǔ
一目十行	yī mù shí háng
一败如水	yī bài rú shuǐ
大人先生	dà rén xiān sheng
尽如人意	jìn rú rén yì
无所用之	wú suǒ yòng zhī
暗无天日	àn wú tiān rì
见事风生	jiàn shì fēng shēng
见事生风	jiàn shì shēng fēng
不饥不寒	bù jī bù hán
缺一不可	quē yī bù kě
天理人情	tiān lǐ rén qíng
情同一家	qíng tóng yī jiā
天理不容	tiān lǐ bù róng
相安无事	xiāng ān wú shì
神色不惊	shén sè bù jīng
不可言传	bù kě yán chuán
意气自如	yì qì zì rú
风土人情	fēng tú rén qíng
不管不顾	bù guǎn bù gù
不愧不作	bù kuì bù zuò
一年一度	yī nián yī dù
三夫之言	sān fū zhī yán
无所容心	wú suǒ róng xīn
天人之际	tiān rén zhī jì
一言难尽	yī yán nán jìn
书不尽言	shū bù jìn yán
百无所成	bǎi wú suǒ chéng
不如归去	bù rú guī qù
一以当百	yī yǐ dāng bǎi
无乎不可	wú hū bù kě
万世不易	wàn shì bù yì
不同戴天	bù tóng dài tiān
日月如流	rì yuè rú liú
一定不移	yī dìng bù yí
时不可失	shí bù kě shī
不步人脚	bù bù rén jiǎo
风木之思	fēng mù zhī sī
闭口不言	bì kǒu bù yán
日月无光	rì yuè wú guāng
天生天化	tiān shēng tiān huà
不足轻重	bù zú qīng zhòng
人心所归	rén xīn suǒ guī
一望而知	yī wàng ér zhī
不远千里	bù yuǎn qiān lǐ
天知地知	tiān zhī dì zhī
知地知天	zhī dì zhī tiān
天下无敌	tiān xià wú dí
无敌天下	wú dí tiān xià
不足为法	bù zú wéi fǎ
大有作为	dà yǒu zuò wéi
流言风语	liú yán fēng yǔ
言之有礼	yán zhī yǒu lǐ
风雨不测	fēng yǔ bù cè
无家无室	wú jiā wú shì
天道无亲	tiān dào wú qīn
知情不举	zhī qíng bù jǔ
罗之一目	luó zhī yī mù
食生不化	shí shēng bù huà
无地自容	wú dì zì róng
水火不辞	shuǐ huǒ bù cí
上下同心	shàng xià tóng xīn
万世一时	wàn shì yī shí
一之为甚	yī zhī wéi shèn
战无不胜	zhàn wú bù shèng
手足之情	shǒu zú zhī qíng
死心落地	sǐ xīn luò dì
回天之力	huí tiān zhī lì
表里不一	biǎo lǐ bù yī
阙一不可	què yī bù kě
万里无云	wàn lǐ wú yún
言行抱一	yán xíng bào yī
若有若无	ruò yǒu ruò wú
如手如足	rú shǒu rú zú
行不胜衣	xíng bù shèng yī
不顾一切	bù gù yī qiè
以言取人	yǐ yán qǔ rén
三人为众	sān rén wèi zhòng
大风大浪	dà fēng dà làng
一日三秋	yī rì sān qiū
一世之雄	yī shì zhī xióng
生死之交	shēng sǐ zhī jiāo
不远万里	bù yuǎn wàn lǐ
不甘后人	bù gān hòu rén
大辩不言	dà biàn bù yán
世道人情	shì dào rén qíng
过门不入	guò mén bù rù
天高日远	tiān gāo rì yuǎn
不可终日	bù kě zhōng rì
一举一动	yī jǔ yī dòng
流年不利	liú nián bù lì
一见倾心	yī jiàn qīng xīn
未为不可	wèi wéi bù kě
风情月意	fēng qíng yuè yì
不食马肝	bù shí mǎ gān
方外之人	fāng wài zhī rén
妙不可言	miào bù kě yán
一时之权	yī shí zhī quán
意气风发	yì qì fēng fā
心神不宁	xīn shén bù níng
名重一时	míng zhòng yī shí
半文不白	bàn wén bù bái
天生天杀	tiān shēng tiān shā
青山不老	qīng shān bù lǎo
出以公心	chū yǐ gōng xīn
疾不可为	jí bù kě wéi
望云之情	wàng yún zhī qíng
无私之光	wú sī zhī guāng
金口玉言	jīn kǒu yù yán
一路风清	yī lù fēng qīng
不讳之门	bù huì zhī mén
书生之见	shū shēng zhī jiàn
画虎不成	huà hǔ bù chéng
不可多得	bù kě duō dé
不可胜道	bù kě shèng dào
生生不已	shēng shēng bù yǐ
无事生非	wú shì shēng fēi
同心断金	tóng xīn duàn jīn
言行一致	yán xíng yī zhì
立足之地	lì zú zhī dì
不时之须	bù shí zhī xū
不恤人言	bù xù rén yán
力不自胜	lì bù zì shèng
一言为定	yī yán wéi dìng
不绝如带	bù jué rú dài
言不及义	yán bù jí yì
不足为奇	bù zú wéi qí
两意三心	liǎng yì sān xīn
三心两意	sān xīn liǎng yì
无如之奈	wú rú zhī nài
穷日之力	qióng rì zhī lì
心腹之交	xīn fù zhī jiāo
三天两头	sān tiān liǎng tóu
不得其所	bù dé qí suǒ
以不济可	yǐ fǒu jì kě
无所用心	wú suǒ yòng xīn
相持不下	xiāng chí bù xià
天下大乱	tiān xià dà luàn
心事重重	xīn shì chóng chóng
不声不吭	bù shēng bù kēng
不知头脑	bù zhī tóu nǎo
一鸣惊人	yī míng jīng rén
好恶不同	hǎo è bù tóng
一分一毫	yī fēn yī háo
同日而道	tóng rì ér dào
分文不直	fēn wén bù zhí
百世之利	bǎi shì zhī lì
不成三瓦	bù chéng sān wǎ
不即不离	bù jí bù lí
半三不四	bàn sān bù sì
人生如梦	rén shēng rú mèng
变色之言	biàn sè zhī yán
天不假年	tiān bù jiǎ nián
齐心一力	qí xīn yī lì
得意之作	dé yì zhī zuò
回天无力	huí tiān wú lì
相门有相	xiàng mén yǒu xiàng
百不获一	bǎi bù huò yī
不断如带	bù duàn rú dài
一身两头	yī shēn liǎng tóu
一言两语	yī yán liǎng yǔ
无地自处	wú dì zì chǔ
百花生日	bǎi huā shēng rì
有口难言	yǒu kǒu nán yán
无形之罪	wú xíng zhī zuì
不可告人	bù kě gào rén
牛口之下	niú kǒu zhī xià
