干卿底事	gān qīng dǐ shì
所向皆靡	suǒ xiàng jiē mí
纤悉无遗	xiān xī wú yí
击钟陈鼎	jī zhōng chén dǐng
汗流夹背	hàn liú jiā bèi
超轶绝尘	chāo yì jué chén
高官显爵	gāo guān xiǎn jué
笑面夜叉	xiào miàn yè chā
坐薪尝胆	zuò xīn cháng dǎn
时日曷丧	shí rì hé sàng
分烟析产	fēn yān xī chǎn
目语额瞬	mù yǔ é shùn
运筹制胜	yùn chóu zhì shèng
哑子寻梦	yǎ zǐ xún mèng
应名点卯	yìng míng diǎn mǎo
长吁短叹	cháng xū duǎn tàn
短叹长吁	duǎn tàn cháng xū
踨地籥天	jú dì yuè tiān
烈士徇名	liè shì xùn míng
鼓腹含哺	gǔ fù hán bǔ
含哺鼓腹	hán bǔ gǔ fù
砥节励行	dǐ jié lì xíng
力敌势均	lì dí shì jūn
力均势敌	lì jūn shì dí
势均力敌	shì jūn lì dí
死皮赖脸	sǐ pí lài liǎn
怀黄佩紫	huái huáng pèi zǐ
佩紫怀黄	pèi zǐ huái huáng
九宗七祖	jiǔ zōng qī zǔ
脱白挂绿	tuō bái guà lǜ
骄生惯养	jiāo shēng guàn yǎng
众啄同音	zhòng zhòu tóng yīn
日昃旰食	rì zè gàn shí
似曾相识	sì céng xiāng shí
孤儿寡妇	gū ér guǎ fù
闭门思愆	bì gé sī qiān
尊年尚齿	zūn nián shàng chǐ
反璞归真	fǎn pǔ guī zhēn
归真反璞	guī zhēn fǎn pú
绿林豪士	lù lín háo shì
罢黜百家	bā chù bǎi jiā
窥豹一斑	kuī bào yī bān
一斑窥豹	yī bān kuī bào
点纸画字	diǎn zhǐ huà zì
沁入心脾	qìn rù xīn pí
鸡犬桑麻	jī quǎn sāng má
污泥浊水	wū ní zhuó shuǐ
盲人把烛	máng rén bǎ zhú
驷马轩车	sì mǎ xuān chē
发蒙解缚	fā méng jiě fu
不揣冒昧	bù chuǎi mào mèi
攀今揽古	pān jīn lǎn gǔ
援古刺今	yuán gǔ cì jīn
生聚教训	shēng jù jiào xùn
活眼活现	huó yǎn huó xiàn
全军覆没	quán jūn fù mò
七返还丹	qī fǎn huán dān
诽谤之木	fěi bàng zhī mù
齐大非耦	qí dà fēi ǒu
倚门卖俏	yǐ mén mài qiào
戴玄履黄	dài xuán lǚ huáng
残编断简	cán biān duàn jiǎn
断编残简	duàn biān cán jiǎn
断简残编	duàn jiǎn cán biān
对症之药	duì zhèng zhī yào
坎井之蛙	kǎn jǐng zhī wā
优贤扬历	yōu xián yáng lì
称功颂德	chēng gōng sòng dé
猜拳行令	cāi quán xíng lìng
稔恶藏奸	rěn è cáng jiān
魂飞魄飏	hún fēi pò shān
雪窗萤火	xuě chuāng yíng huǒ
精进勇猛	jīng jìn yǒng měng
勇猛精进	yǒng měng jīng jìn
披毛求疵	pī máo qiú cī
