derivation,example,explanation,pinyin,word,abbreviation,pinyin_r,first,last
无,他这篇论文没有新意，都是从杂志上东抄西抄，七拼八凑来的。,指把零碎的东西拼凑起来。引申为胡乱凑合。,qī pīn bā còu,七拼八凑,qpbc,qi pin ba cou,qi,cou
无,无,①犹言差不多。②犹言零零碎碎，各式各样。,qī qī bā bā,七七八八,qqbb,qi qi ba ba,qi,ba
《礼记·礼运》七情喜怒哀惧爱恶欲。六欲生死耳目口鼻。”,无,泛指人的喜、怒、哀、乐和嗜欲等。,qī qíng liù yù,七情六欲,qqly,qi qing liu yu,qi,yu
明·施耐庵《水浒全传》第二十六回那胡正卿心头十五个吊桶打水，七上八下。”,他就感觉得～，心里老不自在。★沙汀《烦恼》,形容心里慌乱不安。,qī shàng bā xià,七上八下,qsbx,qi shang ba xia,qi,xia
宋·释普济《五灯会元》卷二十上堂七手八脚，三头两面，耳听不闻，眼觑不见，苦乐逆顺，打成一片。”,众人～将他扛抬了出来。★清·吴敬梓《儒林外史》第三回,形容人多手杂，动作纷乱。,qī shǒu bā jiǎo,七手八脚,qsbj,qi shou ba jiao,qi,jiao
清·袁枚《牍外余言》故晋大夫七嘴八舌，冷讥热嘲，皆由于心之大公也。”,无,形容人多口杂。,qī zuǐ bā shé,七嘴八舌,qzbs,qi zui ba she,qi,she
明·梁辰鱼《浣纱记·见王》你一向远出，可速与妻儿老小相聚。”,谁都有～的。,指父、母、妻、子等全家人。,qī ér lǎo xiǎo,妻儿老小,qelx,qi er lao xiao,qi,xiao
《孟子·梁惠王上》父母冻饿，兄弟妻子离散，”,无辜人民之死伤成千累万，～啼饥号寒者到处皆是。★毛泽东《评国民党对战争责任问题的几种答案》,一家子被迫分离四散。,qī lí zǐ sàn,妻离子散,qlzs,qi li zi san,qi,san
《左传·昭公四年》春无凄风，秋无苦雨。”,我们住在这里，总不了局，不如趁这颜色未衰，再去混他几年，何苦在这里，受这些～。★清·禇人获《隋唐演义》第六十二回,凄风寒冷的风；苦雨久下成灾的雨。形容天气恶劣◇用来比喻境遇悲惨凄凉。,qī fēng kǔ yǔ,凄风苦雨,qfky,qi feng ku yu,qi,yu
《左传·昭公四年》春无凄风，秋无苦雨。”,时遇秋天，怎当那～，过雁吟虫，眼前景物，无一件不是牵愁触闷的。★元·杨显之《潇湘雨》第三折,凄风寒冷的风；冷雨冰冷的雨。形容天气恶劣◇用来比喻境遇悲惨凄凉。,qī fēng lěng yǔ,凄风冷雨,qfly,qi feng leng yu,qi,yu
元·郑廷玉《楚昭公》第四折主公着他做了盟府，又与他一口宝剑，筵前举鼎，欺人太甚。”,郑彩使劲把匣子摔到地上，撕裂的嗓声，疯狂地大叫你们不要～。”★华而实《汉衣冠》六,欺负人太过分了，令人不能容忍。,qī rén tài shèn,欺人太甚,qrts,qi ren tai shen,qi,shen
明·高明《琵琶记·五娘请粮被抢》点催首放富差贫，保上户欺软怕硬。”,不公道，～！有好差事派了别人；这样黑更半夜送人，就派我。★清·曹雪芹《红楼梦》第七回,欺负软弱的，害怕强硬的。,qī ruǎn pà yìng,欺软怕硬,qrpy,qi ruan pa ying,qi,ying
唐·元结《奏免科率状》忝官尸禄，欺上罔下，是臣之罪。”,无,对上欺骗，博取信任；对下隐瞒，掩盖真相。,qī shàng mán xià,欺上瞒下,qsmx,qi shang man xia,qi,xia
《荀子·不苟》夫富贵者则类傲之；夫贫贱者则求柔之。是非仁人之情也，是奸人将以盗名于暗世者也，险莫大焉。”,不知平日所讲何学，居然～。★清·阮葵生《茶余客话》卷十,欺骗世人，窃取名誉。,qī shì dào míng,欺世盗名,qsdm,qi shi dao ming,qi,ming
周恩来《在上海科学技术工作会议上的讲话》实现科学技术现代化的主要要求是实事求是，循序前进，齐头并进，迎头赶上。”,无,多方面同时前进。多形容几件事情或几项工作同时进行。,qí tóu bìng jìn,齐头并进,qtbj,qi tou bing jin,qi,jin
《墨子·尚贤》《汤誓》曰‘聿求元圣，与之戮力同心，以治天下。’”,工人们～，只用一天时间就把道路修好了。,形容认识一致，共同努力。,qí xīn hé lì,齐心合力,qxhl,qi xin he li,qi,li
《墨子·尚贤》《汤誓》曰‘聿求元圣，与之戮力同心，以治天下。’”,往后咱们～，一块打反动派！★冯德英《迎春花》第十九章,形容认识一致，共同努力。,qí xīn xié lì,齐心协力,qxxl,qi xin xie li,qi,li
无,这里条件很艰苦，但跟困难做斗争，其乐无穷。,其中的乐趣没有穷尽。指朝廷某一工作，感到乐在其中。,qí lè wú qióng,其乐无穷,qlwq,qi le wu qiong,qi,qiong
《左传·昭公二十八年》今子少不扬，子若无言，吾几失子矣。”杜预注颜貌不显扬。”唐·裴度《自题写真赞》尔才不长，尔貌不扬。”,别看他～，可学习特别好。,不扬不好看。形容人容貌难看。,qí mào bù yáng,其貌不扬,qmby,qi mao bu yang,qi,yang
欧阳山《三家巷》一七我们和帝国主义结下了深仇大恨，我们忘不了那些奇耻大辱。”,无,奇异常。极大的耻辱。,qí chǐ dà rǔ,奇耻大辱,qcdr,qi chi da ru,qi,ru
《西京杂记》卷三奇树异草，靡不具植。”,命岸贾于绛州城内，起一座花园，遍求～，种植其中。★明·冯梦龙《东周列国志》第五十回,原意是指希奇少见的花草。也比喻美妙的文章作品等。,qí huā yì cǎo,奇花异草,qhyc,qi hua yi cao,qi,cao
《史记·吕不韦列传》吕不韦贾邯郸，见（子楚）而怜之，曰‘此奇货可居。’”,可是他们把票子当做～，非要足了钱不肯放回。★姚雪垠《李自成》第一卷第二十五章,指把少有的货物囤积起来，等待高价出售。也比喻拿某种专长或独占的东西作为资本，等待时机，以捞取名利地位。,qí huò kě jū,奇货可居,qhkj,qi huo ke ju,qi,ju
清·钱泳《履园丛话·耆旧·仲子教授》乾隆戊申岁，余往汴梁，遇毕秋帆中丞幕中，两眼若漆，奇谈怪论，咸视为异物，无一人与言者。”,对社会上的一些～，我们要有识别能力。,奇怪的不合情理的言论。,qí tán guài lùn,奇谈怪论,qtgl,qi tan guai lun,qi,lun
《晋书·温峤传》至牛渚矶，水深不可测，世云其下多怪物，峤遂燃犀角而照之，须臾见水族覆火，奇形异状，或乘马车，著赤衣者。”,铁索千寻取得来，～谁能识？★唐·吴融《太湖石歌》,不同一般的，奇奇怪怪的形状。,qí xíng guài zhuàng,奇形怪状,qxgz,qi xing guai zhuang,qi,zhuang
宋·胡仔《苕溪渔隐丛话后集·东坡四》嗟呼，世不乏奇珍异宝，乏识者耳。”,卿既不受职，朕所有黄金白璧，奇珍异宝，惟卿所好。★明·冯梦龙《警世通言·李谪仙醉草吓蛮书》,珍异难得的宝物。,qí zhēn yì bǎo,奇珍异宝,qzyb,qi zhen yi bao,qi,bao
战国楚·屈原《涉江》余幼好此奇服兮，年既老而不衰。”,无,比一般人衣着式样特异的服装（多含贬义）。,qí zhuāng yì fú,奇装异服,qzyf,qi zhuang yi fu,qi,fu
《晋书·温峤传》今之事势，义无旋踵，骑猛兽安可中下哉。”唐·李白《留别广陵诸公》诗骑虎不敢下，攀龙忽堕天。”,本月三日抛出的一百万公债，都成了～之势，我们只有硬着头皮干到那里是那里了！★茅盾《子夜》十,骑在老虎背上不能下来。比喻做一件事情进行下去有困难，但情况又不允许中途停止，陷于进退两难的境地。,qí hǔ nán xià,骑虎难下,qhnx,qi hu nan xia,qi,xia
