derivation,example,explanation,pinyin,word,abbreviation,pinyin_r,first,last
鲁迅《我的第一个师父》这和名孩子为阿猫阿狗，完全是一样的意思容易养大。”,在德国无论～见面，一律互相举手高喊希特勒万岁”。★邹韬奋《法西斯作风的罪恶》,旧时人们常用的小名。引申为任何轻贱的，不值得重视的人或著作。,ā māo ā gǒu,阿猫阿狗,amag,a mao a gou,a,gou
《二程全书·伊川易传一》周之与否在君而已，不可阿谀奉迎求其比己也。”,其时京师有一流棍，名叫李光，专一～，谄事令孜。★明·凌濛初《初刻拍案惊奇》卷二十二,阿谀用言语恭维别人；逢迎迎合别人的心意。奉承，拍马，讨好别人。,ē yú féng yíng,阿谀逢迎,eyfy,e yu feng ying,e,ying
明·东鲁古狂生《醉醒石》第八回他却小器易盈，况且是个小人，在人前不过一味阿谀奉承。”,无,阿谀用言语恭维别人；奉承恭维，讨好。曲从拍马，迎合别人，竭力向人讨好。,ē yú fèng chéng,阿谀奉承,eyfc,e yu feng cheng,e,cheng
《诗经·小雅·鸿雁》鸿雁于飞，哀鸣嗷嗷。”,我记得历史上的罗马何等殷阗繁盛，怎么今日却是～，春燕无归，满眼凄惶。★清·梁启超《新罗马》,哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。,āi hóng biàn yě,哀鸿遍野,ahby,ai hong bian ye,ai,ye
明·凌濛初《二刻拍案惊奇》卷三十八终日价没心没想，哀声叹气。”,我看你脸上一团私欲愁闷气色！这会子又～，你那些还不足，还不自在？★清·曹雪芹《红楼梦》第三十三回,因伤感郁闷或悲痛而发出叹息的声音。,āi shēng tàn qì,唉声叹气,astq,ai sheng tan qi,ai,qi
老舍《四世同堂》七四自从他作了副县长，随着白巡长挨家挨户地收铜铁，他的美誉便降落了许多。”,无,每家每户，户户不漏。挨，依次，顺次。,āi ji āi hù,挨家挨户,ajah,ai ji ai hu,ai,hu
南朝·梁·萧统《陶渊明集序》余爱嗜其文，不能释手。”,虽是不合他的路数，可奈文有定评，他看了也知道～。★清·文康《儿女英雄传》第三十五回,释放下。喜爱得舍不得放手。,ài bù shì shǒu,爱不释手,abss,ai bu shi shou,ai,shou
《诗经·大雅·焌民》维仲山甫举之，爱莫助之。”,收到各处的回信，只是写些～”之类的抱歉话。★叶圣陶《得失》,爱爱惜；莫不。虽然心中关切同情，却没有力量帮助。,ài mò néng zhù,爱莫能助,amnz,ai mo neng zhu,ai,zhu
《尚书大传·大战》爱人者，兼其屋上之乌。”,子存宠上了小老婆，未免～”，把他也看得同上客一般。★清·吴趼人《二十年目睹之怪现状》第十四回,因为爱一个人而连带爱他屋上的乌鸦。比喻爱一个人而连带地关心到与他有关的人或物。,ài wū jí wū,爱屋及乌,awjw,ai wu ji wu,ai,wu
汉·刘向《说苑·杂言》夫君子爱口，孔雀爱羽，虎豹爱爪，此皆所以治身法也。”,灰鹤与他都是高傲的，～的，而他与它们的高傲只是一种姿态而已，没有用，没有任何的用。★老舍《四世同堂》五十,羽毛比喻人的声望。比喻为珍惜自己的名声，行事十分谨慎。,ài xī yǔ máo,爱惜羽毛,axym,ai xi yu mao,ai,mao
陈若曦《耿尔在北京》他很困惑，也很痛苦，想不到爱憎分明、坚强独立的小睛会怕人‘闲话’。”,无,憎恨。爱和恨的立场和态度十分鲜明。,ài zēng fēn míng,爱憎分明,azfm,ai zeng fen ming,ai,ming
清·文康《儿女英雄传》第八回又把你姑娘一片侠肠，埋没得暧昧不明，我安龙媒真真的愧悔无地！”,武汉国民政府和当权军人对于这叛变采取了～的态度，办求化大事为小事”。★陶菊隐《北洋军阀统治时期史话》,暧昧含糊，不清楚。指不清不楚，不明不白。形容态度不明朗，关系不鲜明。,ài mèi bù míng,暧昧不明,ambm,ai mei bu ming,ai,ming
元·无名氏《抱妆盒》第四折小储君倒也安安稳稳守着妆盒做护身符，则是我陈琳兢兢战战抱着个天大闷葫芦。”,无,形容十分安定稳当。,ān ān wěn wěn,安安稳稳,aaww,an an wen wen,an,wen
《周易·系辞下》是故君子安而不忘危，存而不忘亡，治而不忘礼，是以身安而国家可保也。”,何小姐是从苦境里过来的，如今得地身安，安不忘危，立志要成全起这份人家，立番事业。★清·文康《儿女英雄传》第三十回,在安全的时候不忘记危难。意思是时刻谨慎小心，提高警惕。,ān bù wàng wēi,安不忘危,abww,an bu wang wei,an,wei
宋·袁文《翁牖闲评》八彼安分守己，恬于进取者，方且以道义自居，其肯如此侥幸乎？”,从此养好了，可要安分守己，再别胡行乱闹了。★清·曹雪芹《红楼梦》第七十二回,分本分。规矩老实，守本分，不做违法的事。,ān fèn shǒu jǐ,安分守己,afsj,an fen shou ji,an,ji
染斌《红旗谱》第一卷你们父子帮助我安家立业，我一辈子也忘不了。”,无,安置家庭，创立基业或事业。也指长期在一个地方劳动和生活。,ān jiā lì yè,安家立业,ajly,an jia li ye,an,ye
郭沫若《郑成功》第四章台湾每年可收二三季，我们去只要辛苦得几个月，就可以安家落户了。”,无,安安置；落户指定居。到一个新地方安家，长期居住。,ān jiā luò hù,安家落户,ajlh,an jia luo hu,an,hu
《老子》第八十章民各甘其食，美其服，安其俗，乐其业，至老死不相往来。”《汉书·货殖列传》各安其居而乐其业，甘其食而美其服。”,一家正～，不想安禄山兵乱，潼关失守，天子西幸。★明·冯梦龙《醒世恒言》卷六,安安定；乐喜爱，愉快；业职业。指安定愉快地生活和劳动。,ān jū lè yè,安居乐业,ajly,an ju le ye,an,ye
《后汉书·杨彪传》安贫乐道，恬于进趣，三辅诸儒莫不慕仰之。”,劝人～是古今治国平天下的大经络，开过的方子也很多，但都没有十全大补的功效。★鲁迅《花边文学·安贫乐道法》,道主张，思想。安于贫穷，以坚持自己的信念为乐。旧时士大夫所主张的为人处世之道。,ān pín lè dào,安贫乐道,apld,an pin le dao,an,dao
清·夏敬渠《野叟曝言》第三十二回四嫂不来聒噪，耳根清净，倒也安然无事，除非把你两家合成一家，我一个人就好照顾了。”,要得～，除非把你两家合成一家，我一个人儿就好照顾了。★清·文康《儿女英雄传》第九回,犹言平安无事。,ān rán wú shì,安然无事,arws,an ran wu shi,an,shi
《战国策·齐策》岁亦无恙耶？民亦无恙耶？王亦无恙耶？。”,只求处士每岁元旦，作一朱幡，上图日月五星之文，立于苑东，吾辈则安然无恙矣。★明·冯梦龙《醒世恒言》第四卷,恙病。原指人平安没有疾病。现泛指事物平安未遭损害。,ān rán wú yàng,安然无恙,arwy,an ran wu yang,an,yang
宋·释道原《景德传灯录》卷十僧问‘学人不据地时如何？’师云‘汝向什么处安身立命？’”,那里是镇守边庭，用人之际，足可以～。★明·施耐庵《水浒全传》第二回,安身在某处安下身来；立命精神有所寄托。指生活有着落，精神有所寄托。,ān shēn lì mìng,安身立命,aslm,an shen li ming,an,ming
三国·魏·曹植《求自试表》而臣敢陈闻于陛下者，诚与国分形同气，忧患共之者也。”,无,共同享受安乐，共同承担危难。形容关系密切，利害相连。,ān wēi yǔ gòng,安危与共,awyg,an wei yu gong,an,gong
元·无名氏《两军师隔江斗智》第二折这周瑜匹夫，累累兴兵来索瘸荆州地面，如今在柴桑渡口安营扎寨，其意非小。”,打什么地方进兵，打什么地方退兵，什么地方可以～，什么地方可以埋伏，指手画脚的讲了一通。★清·李宝嘉《官场现形记》第十四回,安、扎建立，安置；寨防守用的栅栏。指部队驻扎下来。也比喻建立临时的劳动或工作基地。,ān yíng zhā zhài,安营扎寨,ayzz,an ying zha zhai,an,zhai
刘少奇《论党》另有些同志在工作中疲蹋，老一套，安于现状。”,无,对目前的情况习惯了，不愿改变。,ān yú xiàn zhuàng,安于现状,ayxz,an yu xian zhuang,an,zhuang
清·范寅《越谚·附论·论堕贫》贪逸欲而逃勤苦，丧廉耻而习谄谀，甘居人下，安之若素。”,第二天宝小姐酒醒，很觉得过意不去◇来彼此熟了，见瞿太太常常如此，也就～了。★清·李宝嘉《官场现形记》第三十八回,安安然，坦然；之代词，指人或物；素平常。安然相处，和往常一样，不觉得有什么不合适。,ān zhī ruò sù,安之若素,azrs,an zhi ruo su,an,su
王树元《杜鹃山》第五嘲前马后跟你跑，出生入死为你干。”,无,马前马后。指追随左右。,ān qián mǎ hòu,鞍前马后,aqmh,an qian ma hou,an,hou
《荀子·王制》偃然按兵不动。”《吕氏春秋·恃君览》赵简子按兵而不动。”,又听得寨前炮响，史文恭～，只要等他入来，塌了陷坑，山后伏兵齐起，接应捉人。★明·施耐庵《水浒全传》第六十八回,按止住。使军队暂不行动。现也比喻暂不开展工作。,àn bīng bù dòng,按兵不动,abbd,an bing bu dong,an,dong
晋·陆机《文赋》然后选义案部，考辞就班。”,但黄公俊的祖父，他开始读了书，象一般读书人似的，他～的要将八股型的才学，货与帝王家”。★郑振铎《黄公俊之最后》,部、班门类，次序；就归于。按照一定的步骤、顺序进行。也指按老规矩办事，缺乏创新精神。,àn bù jiù bān,按部就班,abjb,an bu jiu ban,an,ban
明·冯梦龙《警世通言·白娘子水镇雷峰塔》不想遇着许宣……按捺不住，一时冒范天条。”,他一听这话，一股无名火直往上窜，无论如何也～。,按捺压抑，忍耐。心里急燥，克制不住。,àn nà bù zhù,按捺不住,anbz,an na bu zhu,an,zhu
《汉书·梅福传》今不循伯者之道，乃欲以三代选举之法取当时之士，犹察伯乐之图求骐骥于市，而不可得，变已明矣。”,每见一班～者，多失于骊黄牝牡。★明·赵沺《葬书问对》,索找；骥良马。按照画像去寻求好马。比喻墨守成规办事；也比喻按照线索去寻求。,àn tú suǒ jì,按图索骥,atsj,an tu suo ji,an,ji
《史记·高祖本纪》……项王使卒三万人从，楚与诸侯之慕从者数万人，从杜南入蚀中。去辄烧绝栈道，以备诸侯盗兵袭之，亦示项羽无东意……八月，汉王用韩信之计，从故道还，袭雍王章邯—迎击汉陈仓，雍兵败，…,臣已算定今番诸葛亮必效韩信～之计。★《三国演义》第九六回,指正面迷惑敌人，而从侧翼进行突然袭击。亦比喻暗中进行活动。陈仓，古县名，在今陕西省宝鸡市东，为通向汉中的交通孔道。,àn dù chén cāng,暗度陈仓,adcc,an du chen cang,an,cang
宋·苏轼《百步洪》诗之二佳人未肯回秋波，幼舆欲语防飞梭。”,对张（作霖）则～，对曹（锟）尤密切勾结。★蔡东藩、许廑父《民国通俗演义》第一二四回,旧时比喻美女的眼睛象秋天明净的水波一样。指暗中眉目传情。,àn sòng qiū bō,暗送秋波,asqb,an song qiu bo,an,bo
清·蒲松龄《聊斋志异·老龙船户》剖腹沉石，惨冤已甚，而木雕之有司，绝不少关痛痒，岂特粤东之暗无天日哉！”,上自王后，下至弄臣，骇得凝结着的神色也应声活动起来，似乎感到～的悲哀。★鲁迅《故事新编·铸剑》,昏暗得看不到天上的日光。形容在反动势力统治下社会的黑暗。,àn wú tiān rì,暗无天日,awtr,an wu tian ri,an,ri
清·文康《儿女英雄传》第三十四回头上戴一个黯淡无光的亮蓝顶儿，那枝俏摆春风的孔雀瓴已经虫蛀的剩了光杆儿了。”,但是这个电报却又引起了张勋的不愉快，因为，他的十三省盟主地位因此而～。★陶菊隐《北洋军阀统治时期史话》第二十四章,黯淡同暗淡”，不明亮，昏暗。形容失去光彩。,àn dàn wú guāng,黯淡无光,adwg,an dan wu guang,an,guang
清·百一居士《壶天录》女更黯然神伤，泫然流涕。”,这个满脸胡须的中年人，扫头看见了船尾妇妇，～的目光突然发亮了。★从维煕《遗落在海滩上的脚印》,指心神悲沮的样子。,àn rán shén shāng,黯然神伤,arss,an ran shen shang,an,shang
南朝·梁·江淹《别赋》黯然销魂者，惟别而已矣。”李善注黯然，失色貌”,所有同类题材的绘画和它比较起来，都～。★秦牧《艺海拾贝·〈最后的晚餐〉》,黯然心里不舒服、情绪低落的样子；失色因惊恐而变以脸色。本指心怀不好，脸色难看◇多比喻相形之下很有差距，远远不如。,àn rán shī sè,黯然失色,arss,an ran shi se,an,se
老舍《鼓书艺人》二十四新郎昂首阔步，在他身边迈着鸭子步，为的是显摆他那马靴和银马刺。”,无,昂仰，高抬。抬起头迈开大步向前。形容精神抖擞，意气风发。,áng shǒu kuò bù,昂首阔步,askb,ang shou kuo bu,ang,bu
欧阳予情《小英姑娘》她伸开两手昂首挺胸，狂了似的往外跑。”,个个视死如归，坚贞不屈，～站在那里。王之燕同志领头高呼起口号。★《上饶集中营·浩气长存》,抬起头，挺起胸膛。形容斗志高，士气旺。,áng shǒu tǐng xiōng,昂首挺胸,astx,ang shou ting xiong,ang,xiong
《诗经·小雅·鸿雁》鸿雁于飞，哀鸣嗷嗷。”汉·荀悦《前汉纪·成帝纪三》作治数年，天下遍被其劳，国家疲弊，府库空虚，下至众庶，嗷嗷苦之。”,文章尽可在别的刊物上发表，对于～的创造社的几种刊物却一字也不肯飞来。★郭沫若《学生时代·创造十年续编》,嗷嗷哀鸣声；待等待；哺喂食。饥饿时急于求食的样子。形容受饥饿的悲惨情景。,áo áo dài bǔ,嗷嗷待哺,aadb,ao ao dai bu,ao,bu
《三国志·吴志·三嗣主传》裴松之注引孙皓侍中李仁之言视人君相忤，是乃祀所谓傲慢；傲慢则无礼，无礼则不臣，不臣则犯罪，犯罪则陷不测矣。”,无,态度傲慢，对人不讲礼节。,ào màn wú lǐ,傲慢无礼,amwl,ao man wu li,ao,li
茅盾《白杨礼赞》难道你竟一点也不联想到，在敌后的广大土地上，到处有坚强不屈，就象这白杨树一样傲然挺立的守卫他们家乡的哨兵？”,无,傲然坚强不屈的样子。挺立像山峰一样高高地耸立。形容坚强而不可动摇。,ào rán tǐng lì,傲然挺立,artl,ao ran ting li,ao,li
无,一方有难，八方支援,形容各方面都支持、援助。,bā fāng zhī yuán,八方支援,bfzy,ba fang zhi yuan,ba,yuan
唐·卢纶《赋得彭祖楼送杨宗德归徐州幕》诗四户八窗明，玲珑逼上清。”宋·夏元鼎《满庭芳》词虽是无为清静，依然要八面玲珑。”,原来宝廷的为人，是～，却十分落拓。★清·曾朴《孽海花》第七回,玲珑精巧细致，指人灵活、敏捷。本指窗户明亮轩敞◇用来形容人处世圆滑，待人接物面面俱到。,bā miàn líng lóng,八面玲珑,bmll,ba mian ling long,ba,long
明·无名氏《八仙过海》第二折则俺这八仙过海神通大，方显这众圣归山道法强，端的万古名扬。”,说得好，咱们就～吧！★老舍《茶馆》第一幕,相传八仙过海时不用舟船，各有一套法术。民间因有八仙过海，各显神通”的谚语◇以比喻各自拿出本领或办法，互相竞赛。,bā xiān guò hǎi,八仙过海,bxgh,ba xian guo hai,ba,hai
萧白《晚祷》多少思怀在这圆圆月中，一次偶然的月下促膝，常成一生追念，于是巴山蜀水近来，洞庭湘河近来，扬子江钟山也近来……”,无,巴、蜀指四川一带。四川一带的山山水水。,bā shān shǔ shuǐ,巴山蜀水,bsss,ba shan shu shui,ba,shui
《儿女英雄传》第十回自然就不能不闹到扬眉裂眦拔刀相向起来。”,但当他们一看到侵略者公然～的时候，他们丝毫也不动摇地采取了伟大的中国人民在这样场合所惟一可能而且必须采取的办法。★《人民日报》1951.1.11,指动武。,bá dāo xiāng xiàng,拔刀相向,bdxx,ba dao xiang xiang,ba,xiang
宋·释道元《景德传灯录》卷二十二师曰‘路见不平，所以按剑。’”,路见不平，～。★元·马致远《陈抟高卧》第一折,旧小说中多指打抱不平。,bá dāo xiāng zhù,拔刀相助,bdxz,ba dao xiang zhu,ba,zhu
《孟子·公孙丑上》宋人有闵其苗之不长而揠之者，茫茫然归，谓其人曰‘今日病矣，予助苗长矣。’其子趋而往视之，苗则槁矣。”,那种不顾学生能否接受的填鸭式的教学方法，无异于～。,比喻违反事物发展的客观规律，急于求成，反而坏事。,bá miáo zhù zhǎng,拔苗助长,bmzz,ba miao zhu zhang,ba,zhang
《诗经·鄘风·载驰》大夫跋涉，我心则忧。”《左传·襄公二十八年》跋山涉水，蒙犯霜露。”,同样的青春，同样的年龄，有人～，为改变祖国一穷二白的面貌而感到莫大的幸福。★魏巍《路标》,跋山翻过山岭；涉水用脚趟着水渡过大河。翻山越岭，趟水过河。形容走远路的艰苦。,bá shān shè shuǐ,跋山涉水,bsss,ba shan she shui,ba,shui
《史记·项羽本纪》记载霸王项羽在和刘邦夺封建统治权的战争中，最后兵败，自知大势已去，在突围前夕，不得不和虞姬决别。,不是有一出戏叫《～》吗？这些同志如果总是不改，难免有一天要别姬”就是了。★毛泽东《在扩大的中央工作会议上的讲话》,姬指西楚霸王项羽的宠妾虞姬。形容英雄末路的悲壮情景。现多比喻独断专行，脱离群众，最终垮台。,bà wáng bié jī,霸王别姬,bwbj,ba wang bie ji,ba,ji
唐·韩愈《祭十二郎文》吾年未四十，而视茫茫，而发苍苍，而齿牙动摇。”,无,苍苍灰白色。头发灰白。形容人的苍老。,bái fà cāng cāng,白发苍苍,bfcc,bai fa cang cang,bai,cang
《庄子·知北游》人生天地之间，若白驹之过卻，忽然而已。”,～，日月穿梭，才见梅开腊底，又早天气回阳。★明·兰陵笑笑生《金瓶梅词话》第二回,白驹白色骏马，比喻太阳；隙缝隙。象凶马在细小的缝隙前跑过一样。形容时间过得极快。,bái jū guò xì,白驹过隙,bjgx,bai ju guo xi,bai,xi
明·豫章醉月子《精选雅笑·送匾》以为必中而遍问星相者，亦是白日做梦。”,换抠三县鬼迷心窍妄想回头！明摆着的，是你抠三县～。★谌容《万年青》五十七,大白天做梦。比喻根本不能实现的梦想。,bái rì zuò mèng,白日做梦,brzm,bai ri zuo meng,bai,meng
《金史·世纪》生女之地有混同江、长白山。混同江亦号黑龙江，所谓‘白山黑水’是也。”,～之间，是我大清发祥地，你们去看看体验一下也好。★唐明浩《曾国藩》第三部第四章,长白山和黑龙江。泛指我国东北地区。,bái shān hēi shuǐ,白山黑水,bshs,bai shan hei shui,bai,shui
《朱子语类》卷一０七今士大夫白屋起家，以致荣显。”,你看，他发了多少财，～，靠的是谁？如今也忘了水源头了，墙上的草，两边倒着呢。★丁玲《太阳照在桑干河上》,白手空手；起家创建家业。形容在没有基础和条件很差的情况下自力更生，艰苦创业。,bái shǒu qǐ jiā,白手起家,bsqj,bai shou qi jia,bai,jia
《诗经·卫风·氓》及尔偕老。”明·陆采《怀香记·奉诏班师》孩儿，我与你母亲白头偕老，富贵双全。”,小娘半老之际，风波历尽，刚好遇到个老成的孤老，两下志同道合，收绳卷索，～。★明·冯梦龙《醒世恒言》卷三,白头头发白。夫妻相亲相爱，一直到老。,bái tóu dào lǎo,白头到老,btdl,bai tou dao lao,bai,lao
《诗经·卫风·氓》及尔偕老。”明·陆采《怀香记·奉诏班师》孩儿，我与你母亲白头偕老，富贵双全。”,我原说过，她不会跟你～的。★巴金《寒夜》,白头头发白；偕共同。夫妻相亲相爱，一直到老。,bái tóu xié lǎo,白头偕老,btxl,bai tou xie lao,bai,lao
秦牧《鲜荔枝和干荔枝》白雪皑皑的山峰，当阳光照耀的时候……大概总以为是灿烂得很，大可观赏的吧。”,无,皑皑洁白的样子，多用来形容霜雪。洁白的积雪银光耀眼。,bái xuě ái ái,白雪皑皑,bxaa,bai xue ai ai,bai,ai
郭戈《金瓶梅传奇》第十一回柔玉不便道出自己身世，编个话儿与她道‘奴家父母早逝，自幼跟哥嫂度日。只是嫂嫂容不得，百般刁难，与其受人凌辱，倒不如自寻清净，避开人世烦恼。’”,无,用各种手段使对方过不去。,bǎi bān diāo nàn,百般刁难,bbdn,bai ban diao nan,bai,
《史记·周本纪》楚有养由基者，善射者也，去柳叶百步而射之，百发而百中之。”《战国策·西周策》楚有养由基者，善射；去柳叶百步而射之，百发百中。”,（关羽）带箭回寨，方知黄忠有百步穿杨之能。★明·罗贯中《三国演义》第五十三回,在一百步远以外射中杨柳的叶子。形容箭法或枪法十分高明。,bǎi bù chuān yáng,百步穿杨,bbcy,bai bu chuan yang,bai,yang
唐·吴融《商人》诗百尺竿头五两斜，此生何处不为家。”,功名～，自古及今，有几个干休。★元·张养浩《折桂令》曲,桅杆或杂技长竿的顶端。比喻极高的官位和功名，或学问、事业有很高的成就。,bǎi chǐ gān tóu,百尺竿头,bcgt,bai chi gan tou,bai,tou
《战国策·西周策》楚有养由基者，善射，去柳叶百步而射之，百发百中。”,回见子牙，叩头在地丞相妙计，～。”★明·许仲琳《封神演义》第三十六回,形容射箭或打枪准确，每次都命中目标。也比喻做事有充分把握。,bǎi fā bǎi zhòng,百发百中,bfbz,bai fa bai zhong,bai,zhong
王颖《海外赤子》百废待兴，一下子怎么能抓得过来。”,无,废被废置的事情；待等待；兴兴办。许多被搁置的事情等着要兴办。,bǎi fèi dài xīng,百废待兴,bfdx,bai fei dai xing,bai,xing
南朝·宋·刘义庆《世说新语·言语》见此茫茫，不觉百端交集，苟未免有情，亦复谁能遣此。”,我是上一个世纪出生的人，能参加这样的盛会，～，思绪万千。★郭沫若《科学的春天》,感感想；交同时发生。各种感触交织在一起。形容感触很多，心情复杂。,bǎi gǎn jiāo jí,百感交集,bgjj,bai gan jiao ji,bai,ji
清·李汝珍《镜花缘》第三回百花仙子只顾在此著棋，那知下界帝王忽有御旨命他百花齐放。”,美术展览会上展出了许多新作品，～，各具风格。,形容百花盛开，丰富多彩。比喻各种不同形式和风格的艺术自由发展。也形容艺术界的繁荣景象。,bǎi huā qí fàng,百花齐放,bhqf,bai hua qi fang,bai,fang
无,北方的夏天绿树成荫，百花争艳。,各种花草树木竞相开放出艳丽的花朵。,bǎi huā zhēng yàn,百花争艳,bhzy,bai hua zheng yan,bai,yan
《汉书·艺文志》凡诸子百八十九家……蜂出并作，各引一端，崇其所说，以此弛说，取舍诸候。”,自春秋末年以来，中国的思想得到一个极大的开放，呈现出一个～的局面。★郭沫若《吕不韦与秦王政的批判》,指各种学术流派的自由争论互相批评。也指不同意见的争论。百家，这种观点的人或各种学术派别。鸣，发表见解。,bǎi jiā zhēng míng,百家争鸣,bjzm,bai jia zheng ming,bai,ming
宋·刘过《建康狱中上吴居父》虽有百口而莫辩其辜。”,玉林和忠和醒悟了，一打便是祸事，若是李三顺身上有了伤，便～，官司”非输不可。★高阳《清宫外史》上册,莫不能；辩辩白。即使有一百张嘴也辩白不清。形容不管怎样辩白也说不清楚。,bǎi kǒu mò biàn,百口莫辩,bkmb,bai kou mo bian,bai,bian
清·曹雪芹《红楼梦》第一百二十回姑爷年纪略大几岁，并没有娶过的，况且人物儿长的是百里挑一的。”,对报名参军的人挑选很严格，可以说是～。,一百个当中就挑出这一个来。形容人才出众。,bǎi lǐ tiāo yī,百里挑一,blty,bai li tiao yi,bai,yi
汉·陈琳《武军赋》铠则东胡阙巩，百炼精刚。”,他周大勇的战士却在战争中～，精通了打击敌人的本领。★杜鹏程《保卫延安》第七章,比喻经过长期锻炼，变得非常坚强。,bǎi liàn chéng gāng,百炼成钢,blcg,bai lian cheng gang,bai,gang
清·魏源《庸易通义》至道问学之有知无行，分温故为存心，知新为致知，而敦厚为存心，崇礼为致知，此皆百密一疏。”,深知杜竹斋为人的吴荪甫此时却～，竟没有看透竹斋的心曲。他一而再，再而三的，用鼓励，用反激。★茅盾《子夜》十,在极周密的考虑中偶然出现了一点疏忽。,bǎi mì yī shū,百密一疏,bmys,bai mi yi shu,bai,shu
老舍《龙须沟》第三幕不是要开大会吗？百年不遇的事，我歇半天工，好开会去。”,无,一百年也碰不到一次。形容很少见到过或少有的机会。,bǎi nián bù yù,百年不遇,bnby,bai nian bu yu,bai,yu
清·梁启超《论民族竞争之大势》数月之间，而其权力已深入巩固，而百年大计于以定矣。”,～，教育为本。,大计长远的重要的计划。指关系到长远利益的计划或措施。,bǎi nián dà jì,百年大计,bndj,bai nian da ji,bai,ji
无,百年大业，教育为本。,指关系到长远利益的重要计划或措施。同百年大计”。,bǎi nián dà yè,百年大业,bndy,bai nian da ye,bai,ye
《粉妆楼》第一回百年和合，千载团圆恭喜！”,今日你们缔结了良缘，祝福你们～，万事如意。,夫妻永远和好之意。,bǎi nián hǎo hé,百年好合,bnhh,bai nian hao he,bai,he
清·文康《儿女英雄传》第九回若说一样的动心，把这等终身要紧的大事、百年难遇的良缘，倒扔开自己，双手送给我这样一个初次见面旁不相干的张金凤，尤其不是情理。”,这种怪事～，今天倒开了眼界。,百年也碰不到。形容罕见或很不容易碰到。,bǎi nián nán yù,百年难遇,bnny,bai nian nan yu,bai,yu
《管子·权修》一年之计，莫如树谷；十年之计，莫如树木，终身之计，莫如树人。”,古人都知道～的道理，我们更应该把培养人才这件大事抓好。,树种植，栽培。比喻培养人才是长期而艰巨的事。,bǎi nián shù rén,百年树人,bnsr,bai nian shu ren,bai,ren
《曹操集·卷二·军谯令》为存者立庙，使视其先人。魂而有灵，吾百年之后何恨哉！”元·武汉臣《老生儿》第三折俺女儿百年之后，可往俺刘家坟里埋也，去他张家坟里埋？”,您～，安葬何处？★鲁讯《题未定”草·五》,死的讳称。,bǎi nián zhī hòu,百年之后,bnzh,bai nian zhi hou,bai,hou
宋·李昿等《太平御览》九百一十五卷引《唐书》海州言凤见于城上，群鸟数百随之，东北飞向苍梧山。”,那些玉斝中的长春露酒也都由站在身边侍候的宫女接过去倾入一只绘着～的大瓷缸中。★姚雪垠《李自成》第二卷第三十一章,朝朝见；凤凤凰，古代传说中的鸟王。旧时喻指君主圣明而天下依附，后也比喻德高望重者众望所归。,bǎi niǎo cháo fèng,百鸟朝凤,bncf,bai niao chao feng,bai,feng
清·纪昀《阅微草堂笔记》卷十三此真百思不得其故矣。”,～，五夜踌蹰，故乘隙邀君一面，以决中疑。★清·无名氏《葛仙翁全传》,百多次；解理解。百般思索也无法理解。,bǎi sī bù jiě,百思不解,bsbj,bai si bu jie,bai,jie
清·范寅《越谚·名物·风俗》百无禁忌，诸邪回避。”,则知太公封神，古有此说。今人于门户每书姜太公在此，～，亦非无所本矣。★鲁迅《小说旧闻钞·封神传衍义》,百所有的，不论什么；禁忌忌讳。什么都不忌讳。,bǎi wú jìn jì,百无禁忌,bwjj,bai wu jin ji,bai,ji
汉·蔡琰《悲愤》诗为复强视息，虽生何聊赖。”,在～中，随手抓过一本书来，科学也好，文学也好，横竖什么都一样。★鲁迅《彷徨·伤逝》,聊赖依赖。精神上无所寄托，感到什么都没意思。,bǎi wú liáo lài,百无聊赖,bwll,bai wu liao lai,bai,lai
明·凌濛初《初刻拍案惊奇》第十三卷做爷娘的百依百顺，没一事违拗了他。”,这安公子是那女孩儿一般～的人。★清·文康《儿女英雄传》第三回,依、顺顺从。什么都依从。形容一切都顺从别人。,bǎi yī bǎi shùn,百依百顺,bybs,bai yi bai shun,bai,shun
《孙子·谋攻》百战百胜，非善之善者也。”,项籍唯不能忍，是以～而轻用其锋。★宋·苏轼《留侯论》,每战必胜。形容所向无敌。,bǎi zhàn bǎi shèng,百战百胜,bzbs,bai zhan bai sheng,bai,sheng
《孙子·谋攻》知彼知己者百战不殆。”,自古名将料敌制胜，训练士兵，故可使赴汤蹈火，～。★《金史·刘炳传》,经历许多次战役，都没有遭到危险。形容善于用兵。,bǎi zhàn bù dài,百战不殆,bzbd,bai zhan bu dai,bai,dai
汉·蔡邕《太尉乔玄碑》其性庄，疾华尚朴，有百折不挠，临大节而不可夺之风。”,耿耿自始，～。★清·姚莹《复杨君论诗文书》,折挫折。比喻意志坚强，无论受到多少次挫折，毫不动摇退缩。,bǎi zhé bù huí,百折不回,bzbh,bai zhe bu hui,bai,hui
汉·蔡邕《太尉乔玄碑》其性庄，疾华尚朴，有百折不挠，临大节而不可夺之风。”,汉阳民军总司令黄兴，系湖南长沙县人，向来主张革命，屡仆屡起，～。★蔡东藩、许廑父《民国通俗演义》第三回,折挫折；挠弯曲。比喻意志坚强，无论受到多少次挫折，毫不动摇退缩。,bǎi zhé bù náo,百折不挠,bzbn,bai zhe bu nao,bai,nao
